ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1312200,Manchester,2022-05-29,2022,Final,Australia,Afghanistan,Old Trafford Cricket Ground,India,bat,N,South Africa,Wickets,7.0,,Kagiso Rabada,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Marais Erasmus,Richard Kettleborough
1312199,Melbourne,2022-05-27,2022,Qualifier 2,India,Pakistan,Adelaide Oval,South Africa,field,N,South Africa,Wickets,7.0,,Quinton de Kock,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Quinton de Kock, Kagiso Rabada, Aiden Markram",Nitin Menon,Marais Erasmus
1312198,Adelaide,2022-05-25,2022,Eliminator,South Africa,Sri Lanka,Melbourne Cricket Ground,Afghanistan,field,N,Afghanistan,Runs,14.0,,Mohammad Nabi,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Chris Gaffaney,Rod Tucker
1312197,Adelaide,2022-05-24,2022,Qualifier 1,Australia,England,Lord's Cricket Ground,New Zealand,field,N,Afghanistan,Wickets,7.0,,Rahmanullah Gurbaz,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Kane Williamson, Trent Boult, Devon Conway",Paul Reiffel,Nitin Menon
1304116,Adelaide,2022-05-22,2022,70,New Zealand,India,Lord's Cricket Ground,England,bat,N,England,Wickets,5.0,,Joe Root,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Joe Root, Ben Stokes, Jos Buttler",Aleem Dar,Paul Reiffel
1304115,Ahmedabad,2022-05-21,2022,69,India,Bangladesh,Gaddafi Stadium,Sri Lanka,field,N,New Zealand,Wickets,5.0,,Trent Boult,"Kane Williamson, Trent Boult, Devon Conway","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Chris Gaffaney,Nitin Menon
1304114,Manchester,2022-05-20,2022,68,Sri Lanka,Bangladesh,Adelaide Oval,Australia,bat,N,New Zealand,Wickets,5.0,,Devon Conway,"Pat Cummins, Steve Smith, David Warner","Kane Williamson, Trent Boult, Devon Conway",Aleem Dar,Paul Reiffel
1304113,Melbourne,2022-05-19,2022,67,Pakistan,West Indies,Eden Gardens,Pakistan,bat,N,Pakistan,Wickets,8.0,,Mohammad Rizwan,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Kane Williamson, Trent Boult, Devon Conway",Richard Kettleborough,Chris Gaffaney
1304112,Adelaide,2022-05-18,2022,66,Sri Lanka,India,Sher-e-Bangla National Stadium,South Africa,bat,N,West Indies,Runs,2.0,,Shimron Hetmyer,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Quinton de Kock, Kagiso Rabada, Aiden Markram",Aleem Dar,Richard Kettleborough
1304111,Dhaka,2022-05-17,2022,65,Afghanistan,India,Adelaide Oval,England,field,N,Sri Lanka,Runs,3.0,,Pathum Nissanka,"Joe Root, Ben Stokes, Jos Buttler","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Nitin Menon,Paul Reiffel
1304110,Ahmedabad,2022-05-16,2022,64,Bangladesh,New Zealand,Gaddafi Stadium,Australia,field,N,Australia,Runs,17.0,,Steve Smith,"Pat Cummins, Steve Smith, David Warner","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Richard Kettleborough,Marais Erasmus
1304109,Kolkata,2022-05-15,2022,63,Sri Lanka,England,Wankhede Stadium,Afghanistan,bat,N,Australia,Runs,24.0,,David Warner,"Pat Cummins, Steve Smith, David Warner","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Marais Erasmus,Aleem Dar
1304108,Kolkata,2022-05-15,2022,62,West Indies,Pakistan,The Oval,South Africa,bat,N,India,Wickets,7.0,,Jasprit Bumrah,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Quinton de Kock, Kagiso Rabada, Aiden Markram",Rod Tucker,Richard Kettleborough
1304107,Melbourne,2022-05-14,2022,61,Bangladesh,Pakistan,Sher-e-Bangla National Stadium,Bangladesh,bat,N,Bangladesh,Runs,54.0,,Shakib Al Hasan,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Aleem Dar,Paul Reiffel
1304106,Dhaka,2022-05-13,2022,60,Afghanistan,New Zealand,Lord's Cricket Ground,West Indies,field,N,Bangladesh,Runs,54.0,,Shakib Al Hasan,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Aleem Dar,Chris Gaffaney
1304105,Adelaide,2022-05-12,2022,59,West Indies,Pakistan,Sher-e-Bangla National Stadium,Sri Lanka,field,N,Sri Lanka,Wickets,5.0,,Pathum Nissanka,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Chris Gaffaney,Kumar Dharmasena
1304104,Melbourne,2022-05-11,2022,58,India,Australia,The Oval,Bangladesh,field,N,Bangladesh,Wickets,8.0,,Shakib Al Hasan,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Paul Reiffel,Aleem Dar
1304103,Sydney,2022-05-10,2022,57,India,Sri Lanka,Narendra Modi Stadium,England,bat,N,England,Runs,62.0,,Jos Buttler,"Joe Root, Ben Stokes, Jos Buttler","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Richard Kettleborough,Kumar Dharmasena
1304102,Ahmedabad,2022-05-09,2022,56,Sri Lanka,New Zealand,Adelaide Oval,New Zealand,field,N,West Indies,Runs,52.0,,Nicholas Pooran,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Kane Williamson, Trent Boult, Devon Conway",Paul Reiffel,Kumar Dharmasena
1304101,Sydney,2022-05-08,2022,55,West Indies,Pakistan,Wankhede Stadium,England,field,N,England,Runs,91.0,,Ben Stokes,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Joe Root, Ben Stokes, Jos Buttler",Aleem Dar,Marais Erasmus
1304100,Manchester,2022-05-08,2022,54,West Indies,Sri Lanka,Eden Gardens,England,bat,N,West Indies,Runs,67.0,,Shimron Hetmyer,"Joe Root, Ben Stokes, Jos Buttler","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Richard Kettleborough,Aleem Dar
1304099,Sydney,2022-05-07,2022,53,Afghanistan,India,Wankhede Stadium,Pakistan,field,N,Pakistan,Runs,75.0,,Mohammad Rizwan,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Quinton de Kock, Kagiso Rabada, Aiden Markram",Rod Tucker,Nitin Menon
1304098,Kolkata,2022-05-07,2022,52,Australia,West Indies,Wankhede Stadium,Pakistan,bat,N,Australia,Wickets,6.0,,Pat Cummins,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Pat Cummins, Steve Smith, David Warner",Nitin Menon,Paul Reiffel
1304097,Lahore,2022-05-06,2022,51,England,Australia,Old Trafford Cricket Ground,Pakistan,field,N,Pakistan,Runs,5.0,,Shaheen Afridi,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Richard Kettleborough,Chris Gaffaney
1304096,London,2022-05-05,2022,50,England,West Indies,Old Trafford Cricket Ground,Bangladesh,field,N,West Indies,Runs,21.0,,Nicholas Pooran,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Kumar Dharmasena,Nitin Menon
1304095,Kolkata,2022-05-04,2022,49,Afghanistan,Pakistan,Lord's Cricket Ground,Australia,field,N,West Indies,Runs,13.0,,Shimron Hetmyer,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Pat Cummins, Steve Smith, David Warner",Richard Kettleborough,Chris Gaffaney
1304094,Ahmedabad,2022-05-03,2022,48,New Zealand,Sri Lanka,Narendra Modi Stadium,West Indies,bat,N,Sri Lanka,Wickets,8.0,,Kusal Mendis,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Marais Erasmus,Richard Kettleborough
1304093,Ahmedabad,2022-05-02,2022,47,Bangladesh,England,Lord's Cricket Ground,India,field,N,South Africa,Wickets,7.0,,Quinton de Kock,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Quinton de Kock, Kagiso Rabada, Aiden Markram",Rod Tucker,Nitin Menon
1304092,Melbourne,2022-05-01,2022,46,Bangladesh,Pakistan,Adelaide Oval,New Zealand,field,N,India,Runs,13.0,,Rohit Sharma,"Kane Williamson, Trent Boult, Devon Conway","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Aleem Dar,Rod Tucker
1304091,Sydney,2022-05-01,2022,45,South Africa,New Zealand,Old Trafford Cricket Ground,Afghanistan,bat,N,Afghanistan,Runs,6.0,,Rahmanullah Gurbaz,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Paul Reiffel,Nitin Menon
1304090,Mumbai,2022-04-30,2022,44,West Indies,Pakistan,Narendra Modi Stadium,West Indies,field,N,West Indies,Wickets,5.0,,Jason Holder,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Rod Tucker,Nitin Menon
1304089,Kolkata,2022-04-30,2022,43,Afghanistan,Pakistan,Wankhede Stadium,Afghanistan,bat,N,West Indies,Wickets,6.0,,Jason Holder,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Chris Gaffaney,Richard Kettleborough
1304088,London,2022-04-29,2022,42,Afghanistan,South Africa,Melbourne Cricket Ground,India,field,N,India,Runs,20.0,,Virat Kohli,"Kane Williamson, Trent Boult, Devon Conway","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Nitin Menon,Rod Tucker
1304087,Dhaka,2022-04-28,2022,41,South Africa,Pakistan,Narendra Modi Stadium,New Zealand,field,N,New Zealand,Wickets,4.0,,Kane Williamson,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Kane Williamson, Trent Boult, Devon Conway",Rod Tucker,Richard Kettleborough
1304086,Kolkata,2022-04-27,2022,40,Afghanistan,West Indies,Eden Gardens,South Africa,field,N,South Africa,Wickets,5.0,,Quinton de Kock,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Quinton de Kock, Kagiso Rabada, Aiden Markram",Nitin Menon,Richard Kettleborough
