ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1304113,Melbourne,2022-05-19,2022,67,Pakistan,West Indies,Eden Gardens,Pakistan,bat,N,Pakistan,Wickets,8.0,,Mohammad Rizwan,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Kane Williamson, Trent Boult, Devon Conway",Richard Kettleborough,Chris Gaffaney
1304107,Melbourne,2022-05-14,2022,61,Bangladesh,Pakistan,Sher-e-Bangla National Stadium,Bangladesh,bat,N,Bangladesh,Runs,54.0,,Shakib Al Hasan,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Aleem Dar,Paul Reiffel
1304090,Mumbai,2022-04-30,2022,44,West Indies,Pakistan,Narendra Modi Stadium,West Indies,field,N,West Indies,Wickets,5.0,,Jason Holder,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Rod Tucker,Nitin Menon
1304078,Manchester,2022-04-20,2022,32,Pakistan,Sri Lanka,Wankhede Stadium,Pakistan,field,N,Pakistan,Wickets,9.0,,Shaheen Afridi,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Chris Gaffaney,Richard Kettleborough
1304075,Ahmedabad,2022-04-17,2022,29,New Zealand,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,field,N,Sri Lanka,Wickets,3.0,,Pathum Nissanka,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Chris Gaffaney,Richard Kettleborough
1304067,Manchester,2022-04-11,2022,21,South Africa,Sri Lanka,Eden Gardens,South Africa,field,N,Sri Lanka,Wickets,8.0,,Wanindu Hasaranga,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Aleem Dar,Richard Kettleborough
1304062,Lahore,2022-04-08,2022,16,West Indies,Bangladesh,Narendra Modi Stadium,West Indies,field,N,West Indies,Wickets,6.0,,Jason Holder,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Aleem Dar,Nitin Menon
1304057,Mumbai,2022-04-03,2022,11,Australia,Pakistan,Old Trafford Cricket Ground,Australia,field,N,Australia,Runs,54.0,,Steve Smith,"Pat Cummins, Steve Smith, David Warner","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Paul Reiffel,Chris Gaffaney
1254114,Sydney,2021-10-10,2021,Qualifier 1,Pakistan,New Zealand,Sher-e-Bangla National Stadium,New Zealand,field,N,New Zealand,Wickets,4.0,,Devon Conway,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Kane Williamson, Trent Boult, Devon Conway",Marais Erasmus,Kumar Dharmasena
1254109,Manchester,2021-10-03,2021,49,India,West Indies,Narendra Modi Stadium,West Indies,bat,N,West Indies,Wickets,6.0,,Jason Holder,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Marais Erasmus,Chris Gaffaney
1254098,Manchester,2021-09-26,2021,38,West Indies,Pakistan,Wankhede Stadium,West Indies,bat,N,West Indies,Wickets,2.0,,Jason Holder,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Aleem Dar,Kumar Dharmasena
1254087,Mumbai,2021-09-20,2021,31,Afghanistan,West Indies,Wankhede Stadium,Afghanistan,bat,N,Afghanistan,Wickets,9.0,,Mohammad Nabi,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Richard Kettleborough,Chris Gaffaney
1254081,Adelaide,2021-04-29,2021,24,Pakistan,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,field,N,Sri Lanka,Wickets,7.0,,Pathum Nissanka,"Kane Williamson, Trent Boult, Devon Conway","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Marais Erasmus,Paul Reiffel
1254075,Mumbai,2021-04-24,2021,18,New Zealand,Pakistan,Narendra Modi Stadium,Pakistan,field,N,Pakistan,Wickets,6.0,,Shaheen Afridi,"Kane Williamson, Trent Boult, Devon Conway","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Paul Reiffel,Nitin Menon
1254072,Lahore,2021-04-21,2021,15,Pakistan,England,Narendra Modi Stadium,Pakistan,field,N,England,Runs,18.0,,Ben Stokes,"Joe Root, Ben Stokes, Jos Buttler","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Chris Gaffaney,Rod Tucker
1254071,Sydney,2021-04-21,2021,14,Australia,India,Narendra Modi Stadium,Australia,bat,N,Australia,Wickets,9.0,,David Warner,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Pat Cummins, Steve Smith, David Warner",Marais Erasmus,Nitin Menon
1254069,Ahmedabad,2021-04-19,2021,12,Bangladesh,Afghanistan,Adelaide Oval,Afghanistan,field,N,Afghanistan,Runs,45.0,,Rahmanullah Gurbaz,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Paul Reiffel,Chris Gaffaney
1254067,Sydney,2021-04-18,2021,10,Afghanistan,Australia,Lord's Cricket Ground,Afghanistan,bat,N,Australia,Runs,38.0,,Pat Cummins,"Pat Cummins, Steve Smith, David Warner","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Nitin Menon,Chris Gaffaney
1216520,Melbourne,2020-10-26,2020/21,46,New Zealand,Sri Lanka,The Oval,Sri Lanka,field,N,Sri Lanka,Wickets,8.0,,Pathum Nissanka,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Paul Reiffel,Kumar Dharmasena
1216498,Dhaka,2020-10-24,2020/21,43,New Zealand,South Africa,Lord's Cricket Ground,New Zealand,field,N,New Zealand,Runs,12.0,,Trent Boult,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Kane Williamson, Trent Boult, Devon Conway",Aleem Dar,Marais Erasmus
1216518,Sydney,2020-10-22,2020/21,40,Pakistan,Sri Lanka,Old Trafford Cricket Ground,Sri Lanka,field,N,Sri Lanka,Wickets,8.0,,Wanindu Hasaranga,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Joe Root, Ben Stokes, Jos Buttler",Paul Reiffel,Rod Tucker
1216517,Sydney,2020-10-18,2020/21,36,Sri Lanka,India,Adelaide Oval,India,bat,Y,India,SuperOver,,,Jasprit Bumrah,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Quinton de Kock, Kagiso Rabada, Aiden Markram",Rod Tucker,Marais Erasmus
